Row,Author,Paper,Location,Country,Mult.country,Habitat type,Moment,Species English,Species scientific,Host taxonomic class,Sampling method,Hosts studied,Host infested,Infestation prevalence,Total ticks,Mean abundance,Stages,Larvae on hosts,Mean larval abundance,Host infested with larvae,Nymphs on hosts,Mean nymphal abundance,Host infested with nymphs,Adults on hosts,Mean adult abundance,Host infested with adults,"Any SD, SE or CI given",Note on confidence,Same animals AH/AF,Same reference,Multiple species,Notes,Birds,HD
0422,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Common redpoll,Carduelis flammea,Bird,Scientific capturing,9,3,0.33,5,0.56,Yes,3,0.33,NA,2,0.22,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0423,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Common rosefinch,Carpodacus erythrinus,Bird,Scientific capturing,4,1,0.25,1,0.25,Yes,0,0.00,NA,1,0.25,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0424,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Hawfinch,Coccothraustes coccothraustes,Bird,Scientific capturing,1,1,1.00,2,2.00,Yes,0,0.00,NA,2,2.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0425,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Blue tit,Cyanistes caeruleus,Bird,Scientific capturing,1325,4,0.00,6,0.00,Yes,1,0.00,NA,5,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0426,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Reed bunting,Emberiza schoeniclus,Bird,Scientific capturing,26,2,0.08,3,0.12,Yes,1,0.04,NA,2,0.08,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0427,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,European robin,Erithacus rubecula,Bird,Scientific capturing,411,29,0.07,63,0.15,Yes,37,0.09,NA,26,0.06,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0428,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Common chaffinch,Fringilla coelebs,Bird,Scientific capturing,272,51,0.19,363,1.33,Yes,323,1.19,NA,40,0.15,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0429,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Brambling,Fringilla montifringilla,Bird,Scientific capturing,48,1,0.02,3,0.06,Yes,2,0.04,NA,1,0.02,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0430,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,European crested tit,Lophophanes cristatus,Bird,Scientific capturing,52,1,0.02,1,0.02,Yes,0,0.00,NA,1,0.02,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0431,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Bluethroat,Luscinia svecica,Bird,Scientific capturing,1,1,1.00,1,1.00,Yes,1,1.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0432,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Western yellow wagtail,Motacilla flava,Bird,Scientific capturing,3,1,0.33,1,0.33,Yes,0,0.00,NA,1,0.33,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0433,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Northern wheatear,Oenanthe oenanthe,Bird,Scientific capturing,99,1,0.01,1,0.01,Yes,0,0.00,NA,1,0.01,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0434,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Great tit,Parus major,Bird,Scientific capturing,147,1,0.01,1,0.01,Yes,1,0.01,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0435,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,65,1,0.02,1,0.02,Yes,0,0.00,NA,1,0.02,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0436,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Willow warbler,Phylloscopus trochilus,Bird,Scientific capturing,440,24,0.05,44,0.10,Yes,21,0.05,NA,23,0.05,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0437,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Dunnock,Prunella modularis,Bird,Scientific capturing,32,5,0.16,23,0.72,Yes,3,0.09,NA,20,0.63,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0438,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Common starling,Sturnus vulgaris,Bird,Scientific capturing,16,1,0.06,1,0.06,Yes,1,0.06,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0439,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,178,7,0.04,16,0.09,Yes,10,0.06,NA,6,0.03,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0440,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Garden warbler,Sylvia borin,Bird,Scientific capturing,17,1,0.06,1,0.06,Yes,0,0.00,NA,1,0.06,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0441,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Whitethroat,Sylvia communis,Bird,Scientific capturing,121,20,0.17,54,0.45,Yes,32,0.26,NA,22,0.18,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0442,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Lesser whitethroat,Sylvia curruca,Bird,Scientific capturing,32,3,0.09,4,0.13,Yes,3,0.09,NA,1,0.03,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0443,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Eurasian wren,Troglodytes troglodytes,Bird,Scientific capturing,150,4,0.03,6,0.04,Yes,5,0.03,NA,1,0.01,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0444,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Redwing thrush,Turdus iliacus,Bird,Scientific capturing,68,3,0.04,24,0.35,Yes,5,0.07,NA,19,0.28,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0445,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Common blackbird,Turdus merula,Bird,Scientific capturing,238,22,0.09,127,0.53,Yes,26,0.11,NA,101,0.42,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0446,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Song thrush,Turdus philomelos,Bird,Scientific capturing,65,5,0.08,31,0.48,Yes,12,0.18,NA,19,0.29,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0447,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Fieldfare,Turdus pilaris,Bird,Scientific capturing,77,5,0.06,11,0.14,Yes,0,0.00,NA,11,0.14,NA,0,0.00,NA,No,NA,No,NA,No,,Migratory birds included,Yes
0448,"Kjelland et al., (2010)",113,"Lista Bird Observatory, Southern Norway (58°06’N; 06°34’E)",Norway,No,NA,April - June and July - November 2008,Other bird species (unspecified),NA,Bird,Scientific capturing,2385,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,Yes,,Migratory birds included,Yes
0449,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian sparrowhawk,Accipiter nisus,Bird,Scientific capturing,5,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0450,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian reed warbler,Acrocephalus scirpaceus,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0451,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Long-tailed bushtit,Aegithalos caudatus,Bird,Scientific capturing,8,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0452,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Meadow pipit,Anthus pratensis,Bird,Scientific capturing,21,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0453,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Water pipit,Anthus spinoletta,Bird,Scientific capturing,59,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0454,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Lesser redpol,Carduelis cabaret,Bird,Scientific capturing,4,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0455,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common linnet,Carduelis cannabina,Bird,Scientific capturing,9,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0456,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian goldfinch,Carduelis carduelis,Bird,Scientific capturing,57,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0457,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",European greenfinch,Carduelis chloris,Bird,Scientific capturing,3,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0458,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Citril finch,Carduelis citrinella,Bird,Scientific capturing,32,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0459,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common redpoll,Carduelis flammea,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0460,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian siskin,Carduelis spinus,Bird,Scientific capturing,442,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0461,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Short-toed treecreeper,Certhia brachydactyla,Bird,Scientific capturing,4,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0462,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian treecreeper,Certhia familiaris,Bird,Scientific capturing,5,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0463,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common quail,Coturnix cortunix,Bird,Scientific capturing,35,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0464,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Blue tit,Cyanistes caeruleus,Bird,Scientific capturing,12,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0465,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Northern house martin,Delichon urbicum,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0466,"Lommano et al., (2014)",119,"Bois de l'Hopital (Canton of Neuchâtel, 47?01.00'N, 6?56.00'E) and Agiez (Canton of Vaud, 46?43.23'N,6?29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Great spotted woodpecker,Dendrocopos major,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Non-migrating birds,Yes
0467,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Great spotted woodpecker,Dendrocopos major,Bird,Scientific capturing,6,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0468,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Rock bunting,Emberiza cia,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0469,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Yellowhammer,Emberiza citrinella,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0470,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Ortolan bunting,Emberiza hortulana,Bird,Scientific capturing,20,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0471,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Europaen pied flycatcher,Ficedula hypoleuca,Bird,Scientific capturing,35,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0472,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian jay,Garrulus glandarius,Bird,Scientific capturing,3,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0473,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian pygmy owl,Glaucidium passerinum,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0474,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian wryneck,Jynx torquilla,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0475,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Red-backed shrike,Lanius collurio,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0476,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common grasshopperwarbler,Locustella naevia,Bird,Scientific capturing,27,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0477,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",European crested tit,Lophophanes cristatus,Bird,Scientific capturing,4,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0478,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Red crossbill,Loxia curvirostra,Bird,Scientific capturing,27,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0479,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common nightingale,Luscinia megarhynchos,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0480,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",White wagtail,Motacilla alba,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0481,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Grey wagtail,Motacilla cinerea,Bird,Scientific capturing,3,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0482,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Western yellow wagtail,Motacilla flava,Bird,Scientific capturing,11,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0483,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Spotted flycatcher,Muscicapa striata,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0484,"Lommano et al., (2014)",119,"Bois de l'Hopital (Canton of Neuchâtel, 47?01.00'N, 6?56.00'E) and Agiez (Canton of Vaud, 46?43.23'N,6?29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Coal tit,Periparus ater,Bird,Scientific capturing,2,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Non-migrating birds,Yes
0485,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Coal tit,Periparus ater,Bird,Scientific capturing,150,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0486,"Lommano et al., (2014)",119,"Bois de l'Hopital (Canton of Neuchâtel, 47?01.00'N, 6?56.00'E) and Agiez (Canton of Vaud, 46?43.23'N,6?29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Non-migrating birds,Yes
0487,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,18,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0488,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Willow tit,Poecile montanus,Bird,Scientific capturing,5,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0489,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Marsh tit,Poecile palustris,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0490,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian bullfinch,Pyrrhula pyrrhula,Bird,Scientific capturing,30,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0491,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common firecrest,Regulus ignicapilla,Bird,Scientific capturing,12,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0492,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Goldcrest,Regulus regulus,Bird,Scientific capturing,51,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0493,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Whinchat,Saxicola rubetra,Bird,Scientific capturing,37,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0494,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian woodcock,Scolopax rusticola,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0495,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Eurasian nuthatch,Sitta europaea,Bird,Scientific capturing,22,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0496,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Tawny owl,Strix aluco,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0497,"Lommano et al., (2014)",119,"Col de Jaman (VD) (46?26.95'N,6?58.41'E)",Switzerland,No,NA,"August - October 2007, 2008 and 2009",Common starling,Sturnus vulgaris,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,no,NA,No,NA,No,,Migratory birds included,Yes
0498,"Lommano et al., (2014)",119,"Bois de l'Hopital (Canton of Neuchâtel, 47?01.00'N, 6?56.00'E) and Agiez (Canton of Vaud, 46?43.23'N,6?29.90'E)",Switzerland,No,Mixed and decidious forest,"Spring-Summer 2008, 2009 and 2010",Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,1,0,0.00,0,0.00,Yes,0,0.00,NA,0,0.00,NA,0,0.00,NA,No,NA,No,NA,No,,Non-migrating birds,Yes
